id	reason	timestamp	page_id	assessment_phase_in_session_id	session_id
832517	tab_updated	2023-12-15 22:22:20.715000 +00:00	24111	2701	7053
832518	scroll	2023-12-15 22:22:21.669000 +00:00	24111	2701	7053
832519	scroll	2023-12-15 22:22:21.914000 +00:00	24111	2701	7053
832520	scroll	2023-12-15 22:22:22.446000 +00:00	24111	2701	7053
832521	scroll	2023-12-15 22:22:22.226000 +00:00	24111	2701	7053
832522	scroll	2023-12-15 22:22:22.604000 +00:00	24111	2701	7053
832523	scroll	2023-12-15 22:22:21.631000 +00:00	24111	2701	7053
832524	scroll	2023-12-15 22:22:22.758000 +00:00	24111	2701	7053
832525	scroll	2023-12-15 22:22:22.854000 +00:00	24111	2701	7053
832526	scroll	2023-12-15 22:22:22.895000 +00:00	24111	2701	7053
3277821	tab_updated	2024-02-08 08:28:51.640000 +00:00	92453	12655	21759
864654	tab_updated	2023-12-16 17:04:51.884000 +00:00	24532	2723	7081
864655	scroll	2023-12-16 17:04:53.090000 +00:00	24532	2723	7081
864656	scroll	2023-12-16 17:04:53.058000 +00:00	24532	2723	7081
864657	scroll	2023-12-16 17:04:53.278000 +00:00	24532	2723	7081
864658	scroll	2023-12-16 17:04:53.500000 +00:00	24532	2723	7081
864659	scroll	2023-12-16 17:04:53.318000 +00:00	24532	2723	7081
864660	scroll	2023-12-16 17:04:53.654000 +00:00	24532	2723	7081
864661	scroll	2023-12-16 17:04:53.845000 +00:00	24532	2723	7081
3277825	tab_activated	2024-02-08 08:29:43.967000 +00:00	92453	12655	21759
864662	scroll	2023-12-16 17:04:53.965000 +00:00	24532	2723	7081
832527	scroll	2023-12-15 22:22:23.382000 +00:00	24111	2701	7053
448537	tab_updated	2023-12-10 10:22:48.680000 +00:00	15122	2157	4537
448654	tab_activated	2023-12-10 10:23:02.273000 +00:00	15122	2157	4537
448655	scroll	2023-12-10 10:23:02.995000 +00:00	15122	2157	4537
448681	scroll	2023-12-10 10:23:03.095000 +00:00	15122	2157	4537
448682	scroll	2023-12-10 10:23:03.027000 +00:00	15122	2157	4537
448686	scroll	2023-12-10 10:23:03.504000 +00:00	15122	2157	4537
448694	scroll	2023-12-10 10:23:05.028000 +00:00	15122	2157	4537
1749056	tab_updated	2023-12-28 21:32:29.944000 +00:00	47227	6251	11501
